Colonna X   -   Colonna Y=R(X)
3.1681682   -   0.0984314
3.1831832   -   0.0996645
3.1981982   -   0.100917
3.2132132   -   0.1021891
3.2282282   -   0.1034814
3.2432432   -   0.1047942
3.2582583   -   0.1061279
3.2732733   -   0.1074828
3.2882883   -   0.1088595
3.3033033   -   0.1102582
3.3183183   -   0.1116795
3.3333333   -   0.1131238
3.3483483   -   0.1145915
3.3633634   -   0.1160831
3.3783784   -   0.117599
3.3933934   -   0.1191397
3.4084084   -   0.1207058
3.4234234   -   0.1222977
3.4384384   -   0.1239159
3.4534535   -   0.1255609
3.4684685   -   0.1272334
3.4834835   -   0.1289338
3.4984985   -   0.1306627
3.5135135   -   0.1324206
3.5285285   -   0.1342083
3.5435435   -   0.1360262
3.5585586   -   0.1378749
3.5735736   -   0.1397552
3.5885886   -   0.1416677
3.6036036   -   0.143613
3.6186186   -   0.1455918
3.6336336   -   0.1476048
3.6486486   -   0.1496527
3.6636637   -   0.1517362
3.6786787   -   0.1538562
3.6936937   -   0.1560132
3.7087087   -   0.1582083
3.7237237   -   0.160442
3.7387387   -   0.1627153
3.7537538   -   0.1650291
3.7687688   -   0.1673841
3.7837838   -   0.1697812
3.7987988   -   0.1722214
3.8138138   -   0.1747057
3.8288288   -   0.1772348
3.8438438   -   0.1798099
3.8588589   -   0.182432
3.8738739   -   0.185102
3.8888889   -   0.187821
3.9039039   -   0.1905902
3.9189189   -   0.1934106
3.9339339   -   0.1962833
3.9489489   -   0.1992096
3.963964   -   0.2021906
3.978979   -   0.2052276
3.993994   -   0.2083218
4.009009   -   0.2114638
4.024024   -   0.2146097
4.039039   -   0.2177532
4.0540541   -   0.2208931
4.0690691   -   0.2240276
4.0840841   -   0.2271554
4.0990991   -   0.230275
4.1141141   -   0.2333848
4.1291291   -   0.2364833
4.1441441   -   0.2395689
4.1591592   -   0.24264
4.1741742   -   0.2456951
4.1891892   -   0.2487326
4.2042042   -   0.2517509
4.2192192   -   0.2547484
4.2342342   -   0.2577234
4.2492492   -   0.2606744
4.2642643   -   0.2635998
4.2792793   -   0.2664979
4.2942943   -   0.2693671
4.3093093   -   0.2722059
4.3243243   -   0.2750125
4.3393393   -   0.2777855
4.3543544   -   0.2805232
4.3693694   -   0.283224
4.3843844   -   0.2858863
4.3993994   -   0.2885086
4.4144144   -   0.2910894
4.4294294   -   0.293627
